ID,X,Y,DATA1,DATA2,DATA3,ISZONE,ISINTERSEC,LABEL
74052,288741.0,5051047.0,1.0,0.0,0.0,0,0,0000
74053,288853.0,5051201.0,1.0,0.0,0.0,0,0,0000
74054,289028.0,5051396.0,1.0,0.0,0.0,0,0,0000
74055,289662.0,5051932.0,1.0,0.0,0.0,0,0,0000
74056,289408.0,5051772.0,1.0,0.0,0.0,0,0,0000
74057,289282.0,5051694.0,1.0,0.0,0.0,0,0,0000
74058,288985.0,5051465.0,1.0,0.0,0.0,0,0,0000
74059,288869.0,5051343.0,1.0,0.0,0.0,0,0,0000
74060,288796.0,5051259.0,1.0,0.0,0.0,0,0,0000
74061,288705.0,5051143.0,1.0,0.0,0.0,0,0,0000
74062,289567.0,5051370.0,1.0,0.0,0.0,0,0,0000
74063,289747.0,5051013.0,1.0,0.0,0.0,0,0,0000
74064,289440.0,5051633.0,1.0,0.0,0.0,0,0,0000
74065,289349.0,5051815.0,1.0,0.0,0.0,0,0,0000
74066,289197.0,5052108.0,1.0,0.0,0.0,0,0,0000
74067,289303.0,5051614.0,1.0,0.0,0.0,0,0,0000
74068,289447.0,5051699.0,1.0,0.0,0.0,0,0,0000
74069,289719.0,5051875.0,1.0,0.0,0.0,0,0,0000
74070,283833.0,5058947.0,1.0,0.0,0.0,0,0,0000
74071,282842.0,5058237.0,1.0,0.0,0.0,0,0,0000
74072,288393.0,5053084.0,0.0,2031.0,146.0,0,0,0000
74073,288685.0,5052822.0,0.0,2031.0,146.0,0,0,0000
74074,284239.0,5058985.0,1.0,0.0,0.0,0,1,0000
74075,288149.0,5052830.0,0.0,2031.0,146.0,0,0,0000
74076,288951.0,5053345.0,0.0,2031.0,146.0,0,0,0000
74077,285563.0,5057282.0,0.0,2031.0,146.0,0,0,0000
74082,284044.0,5059394.0,1.0,0.0,0.0,0,0,0000
74087,282813.0,5058323.0,1.0,0.0,0.0,0,0,0000
74093,289465.0,5051897.0,1.0,0.0,0.0,0,0,0000
74111,288456.0,5051122.0,1.0,0.0,0.0,0,1,0000
74113,288805.0,5051335.0,1.0,0.0,0.0,0,1,0000
74114,284924.0,5058086.0,1.0,0.0,0.0,0,0,0000
74115,285270.0,5057724.0,1.0,0.0,0.0,0,0,0000
74116,282009.0,5052396.0,1.0,0.0,0.0,0,0,0000
74117,282398.0,5055583.0,1.0,0.0,0.0,0,0,0000
74118,282915.0,5056290.0,1.0,0.0,0.0,0,0,0000
74119,283290.0,5056827.0,1.0,0.0,0.0,0,0,0000
74120,283655.0,5057354.0,1.0,0.0,0.0,0,0,0000
74121,284939.0,5058930.0,1.0,0.0,0.0,0,0,0000
74122,285068.0,5059163.0,1.0,0.0,0.0,0,0,0000
74123,285224.0,5059238.0,1.0,0.0,0.0,0,0,0000
74124,284582.0,5058419.0,1.0,0.0,0.0,0,0,0000
74125,284516.0,5058339.0,1.0,0.0,0.0,0,0,0000
74126,284256.0,5057969.0,1.0,0.0,0.0,0,0,0000
74127,283955.0,5057722.0,1.0,0.0,0.0,0,0,0000
74128,282859.0,5059961.0,1.0,0.0,0.0,0,0,0000
74129,284327.0,5058524.0,1.0,0.0,0.0,0,0,0000
74130,282294.0,5060499.0,1.0,0.0,0.0,0,0,0000
74131,285297.0,5061521.0,1.0,0.0,0.0,0,0,0000
74132,285446.0,5056836.0,1.0,0.0,0.0,0,0,0000
74133,285717.0,5053356.0,1.0,0.0,0.0,0,0,0000
74134,286077.0,5052867.0,1.0,0.0,0.0,0,0,0000
74135,285563.0,5053559.0,1.0,0.0,0.0,0,0,0000
74136,285208.0,5054054.0,1.0,0.0,0.0,0,0,0000
74137,285152.0,5054353.0,1.0,0.0,0.0,0,0,0000
74138,285117.0,5054532.0,1.0,0.0,0.0,0,0,0000
74139,284955.0,5055306.0,1.0,0.0,0.0,0,0,0000
74140,284853.0,5055827.0,1.0,0.0,0.0,0,0,0000
74141,284900.0,5056032.0,1.0,0.0,0.0,0,0,0000
74142,284962.0,5056122.0,1.0,0.0,0.0,0,0,0000
74143,285117.0,5056249.0,1.0,0.0,0.0,0,0,0000
74144,285282.0,5056390.0,1.0,0.0,0.0,0,0,0000
74145,287295.0,5051058.0,1.0,0.0,0.0,0,0,0000
74146,286976.0,5051497.0,1.0,0.0,0.0,0,0,0000
74147,286688.0,5051878.0,1.0,0.0,0.0,0,0,0000
74148,286363.0,5052370.0,1.0,0.0,0.0,0,0,0000
74149,282129.0,5051782.0,1.0,0.0,0.0,0,0,0000
74150,282074.0,5052072.0,1.0,0.0,0.0,0,0,0000
74151,282209.0,5051367.0,1.0,0.0,0.0,0,0,0000
74152,288450.0,5053079.0,1.0,0.0,0.0,0,0,0000
74153,287269.0,5060529.0,1.0,0.0,0.0,0,0,0000
74154,288360.0,5051246.0,1.0,0.0,0.0,0,0,0000
74155,288297.0,5051331.0,1.0,0.0,0.0,0,0,0000
74156,288116.0,5051569.0,1.0,0.0,0.0,0,0,0000
74157,287971.0,5051764.0,1.0,0.0,0.0,0,0,0000
74158,287703.0,5052107.0,1.0,0.0,0.0,0,0,0000
74159,287603.0,5052266.0,1.0,0.0,0.0,0,0,0000
74160,282449.0,5056728.0,1.0,0.0,0.0,0,0,0000
74161,282046.0,5057087.0,1.0,0.0,0.0,0,0,0000
74162,283241.0,5057757.0,1.0,0.0,0.0,0,0,0000
74163,282704.0,5058650.0,1.0,0.0,0.0,0,0,0000
74164,282435.0,5058880.0,1.0,0.0,0.0,0,0,0000
74165,282306.0,5058990.0,1.0,0.0,0.0,0,0,0000
74166,282086.0,5059214.0,1.0,0.0,0.0,0,0,0000
74167,282013.0,5059405.0,1.0,0.0,0.0,0,0,0000
74168,282014.0,5059988.0,1.0,0.0,0.0,0,0,0000
74169,289902.0,5060239.0,1.0,0.0,0.0,0,0,0000
74170,286638.0,5052573.0,1.0,0.0,0.0,0,0,0000
74171,287032.0,5052889.0,1.0,0.0,0.0,0,0,0000
74172,287197.0,5053128.0,1.0,0.0,0.0,0,0,0000
74173,285999.0,5052057.0,1.0,0.0,0.0,0,0,0000
74174,286077.0,5058424.0,1.0,0.0,0.0,0,0,0000
74175,286603.0,5058887.0,1.0,0.0,0.0,0,0,0000
74176,286624.0,5058999.0,1.0,0.0,0.0,0,0,0000
74177,287218.0,5059337.0,1.0,0.0,0.0,0,0,0000
74178,287217.0,5059845.0,1.0,0.0,0.0,0,0,0000
74179,288670.0,5059900.0,1.0,0.0,0.0,0,0,0000
74180,289508.0,5060041.0,1.0,0.0,0.0,0,0,0000
74181,284213.0,5055100.0,1.0,0.0,0.0,0,0,0000
74182,284421.0,5055377.0,1.0,0.0,0.0,0,0,0000
74183,284820.0,5055962.0,1.0,0.0,0.0,0,0,0000
74184,284325.0,5054198.0,1.0,0.0,0.0,0,0,0000
74185,284584.0,5054273.0,1.0,0.0,0.0,0,0,0000
74186,284936.0,5054453.0,1.0,0.0,0.0,0,0,0000
74187,285373.0,5054653.0,1.0,0.0,0.0,0,0,0000
74188,285629.0,5054749.0,1.0,0.0,0.0,0,0,0000
74189,287182.0,5052194.0,1.0,0.0,0.0,0,0,0000
74190,287894.0,5052493.0,1.0,0.0,0.0,0,0,0000
74191,287342.0,5051875.0,1.0,0.0,0.0,0,0,0000
74192,288050.0,5052372.0,1.0,0.0,0.0,0,0,0000
74193,283292.0,5053788.0,1.0,0.0,0.0,0,0,0000
74194,283114.0,5053641.0,1.0,0.0,0.0,0,0,0000
74195,282972.0,5053335.0,1.0,0.0,0.0,0,0,0000
74196,282743.0,5053003.0,1.0,0.0,0.0,0,0,0000
74197,282301.0,5052567.0,1.0,0.0,0.0,0,0,0000
74198,282845.0,5052477.0,1.0,0.0,0.0,0,0,0000
74199,282882.0,5052298.0,1.0,0.0,0.0,0,0,0000
74200,286709.0,5051176.0,1.0,0.0,0.0,0,0,0000
74201,287351.0,5053325.0,1.0,0.0,0.0,0,0,0000
74202,282943.0,5051930.0,1.0,0.0,0.0,0,0,0000
74203,282530.0,5051857.0,1.0,0.0,0.0,0,0,0000
74204,283097.0,5051388.0,1.0,0.0,0.0,0,0,0000
74205,282606.0,5051428.0,1.0,0.0,0.0,0,0,0000
74206,288320.0,5052031.0,1.0,0.0,0.0,0,0,0000
74207,288675.0,5052304.0,1.0,0.0,0.0,0,0,0000
74208,283066.0,5056954.0,1.0,0.0,0.0,0,0,0000
74210,282848.0,5058946.0,1.0,0.0,0.0,0,0,0000
74211,282553.0,5059251.0,1.0,0.0,0.0,0,0,0000
74212,282624.0,5059517.0,1.0,0.0,0.0,0,0,0000
74213,287454.0,5052540.0,1.0,0.0,0.0,0,0,0000
74214,287389.0,5052907.0,1.0,0.0,0.0,0,0,0000
74215,287272.0,5053431.0,1.0,0.0,0.0,0,0,0000
74216,286759.0,5054356.0,1.0,0.0,0.0,0,0,0000
74217,286979.0,5056234.0,1.0,0.0,0.0,0,0,0000
74218,282424.0,5052410.0,1.0,0.0,0.0,0,0,0000
