ID,JNODE,INODE,KNODE,TPF,DATA1,DATA2,DATA3,VOLAU,VOLAD,TIMAU
11404-11392-85127,11392,11404,85127,-1,0.0,0.0,0.0,324.89993,0.0,0.0
85092-11392-11405,11392,85092,11405,-1,0.0,0.0,0.0,19.930656,0.0,0.0
85092-11392-85127,11392,85092,85127,-1,0.0,0.0,0.0,0.0,0.0,0.0
11438-11439-11438,11439,11438,11438,0,0.0,0.0,0.0,0.0,0.0,-1.0
11438-11439-54033,11439,11438,54033,-1,0.0,0.0,0.0,26.304607,0.0,0.0
54032-11439-11438,11439,54032,11438,-1,0.0,0.0,0.0,0.6886405,0.0,0.0
54032-11439-54033,11439,54032,54033,0,0.0,0.0,0.0,0.0,0.0,-1.0
64061-11453-11451,11453,64061,11451,0,0.0,0.0,0.0,0.0,0.0,-1.0
64061-11453-64653,11453,64061,64653,-1,0.0,0.0,0.0,42.66431,0.0,0.0
64653-11453-11451,11453,64653,11451,-1,0.0,0.0,0.0,104.43579,0.0,0.0
64653-11453-64653,11453,64653,64653,0,0.0,0.0,0.0,0.0,0.0,-1.0
44298-11646-44483,11646,44298,44483,-1,0.0,0.0,0.0,181.65207,0.0,0.0
11911-11648-11653,11648,11911,11653,-1,0.0,0.0,0.0,68.762329,0.0,0.0
11911-11649-11911,11649,11911,11911,0,0.0,0.0,0.0,0.0,0.0,-1.0
11911-11649-44472,11649,11911,44472,-1,0.0,0.0,0.0,407.04675,0.0,0.0
11911-11649-44473,11649,11911,44473,0,0.0,0.0,0.0,0.0,0.0,-1.0
44094-11649-11911,11649,44094,11911,-1,0.0,0.0,0.0,25.24972,0.0,0.0
44094-11649-44472,11649,44094,44472,0,0.0,0.0,0.0,0.0,0.0,-1.0
44094-11649-44473,11649,44094,44473,-1,0.0,0.0,0.0,92.880608,0.0,0.0
11707-11705-11700,11705,11707,11700,0,0.0,0.0,0.0,0.0,0.0,-1.0
11707-11705-11715,11705,11707,11715,-1,0.0,0.0,0.0,0.0130883,0.0,0.0
11707-11705-11716,11705,11707,11716,-1,0.0,0.0,0.0,0.0,0.0,0.0
11715-11705-11700,11705,11715,11700,-1,0.0,0.0,0.0,2.8677323,0.0,0.0
11715-11705-11715,11705,11715,11715,0,0.0,0.0,0.0,0.0,0.0,-1.0
11715-11705-11716,11705,11715,11716,-1,0.0,0.0,0.0,0.0650903,0.0,0.0
11716-11705-11700,11705,11716,11700,-1,0.0,0.0,0.0,0.0,0.0,0.0
11716-11705-11715,11705,11716,11715,-1,0.0,0.0,0.0,4.4566751,0.0,0.0
11716-11705-11716,11705,11716,11716,0,0.0,0.0,0.0,0.0,0.0,-1.0
11699-11711-11706,11711,11699,11706,0,0.0,0.0,0.0,0.0,0.0,-1.0
11699-11711-11716,11711,11699,11716,-1,0.0,0.0,0.0,4.4566751,0.0,0.0
11699-11711-71052,11711,11699,71052,-1,0.0,0.0,0.0,0.0,0.0,0.0
11716-11711-11706,11711,11716,11706,-1,0.0,0.0,0.0,0.0650903,0.0,0.0
11716-11711-11716,11711,11716,11716,0,0.0,0.0,0.0,0.0,0.0,-1.0
11716-11711-71052,11711,11716,71052,-1,0.0,0.0,0.0,0.0,0.0,0.0
71052-11711-11706,11711,71052,11706,-1,0.0,0.0,0.0,0.0,0.0,0.0
71052-11711-11716,11711,71052,11716,-1,0.0,0.0,0.0,0.0,0.0,0.0
71052-11711-71052,11711,71052,71052,0,0.0,0.0,0.0,0.0,0.0,-1.0
11743-11732-11735,11732,11743,11735,-1,0.0,0.0,0.0,18.130747,0.0,0.0
11743-11732-11743,11732,11743,11743,0,0.0,0.0,0.0,0.0,0.0,-1.0
38009-11732-11735,11732,38009,11735,-1,0.0,0.0,0.0,250.61017,0.0,0.0
38009-11732-11743,11732,38009,11743,-1,0.0,0.0,0.0,112.29373,0.0,0.0
28159-11733-28159,11733,28159,28159,0,0.0,0.0,0.0,0.0,0.0,-1.0
28159-11733-38091,11733,28159,38091,-1,0.0,0.0,0.0,151.94797,0.0,0.0
93020-11733-28159,11733,93020,28159,-1,0.0,0.0,0.0,10.528237,0.0,0.0
93020-11733-38091,11733,93020,38091,-1,0.0,0.0,0.0,210.68404,0.0,0.0
11732-11743-11732,11743,11732,11732,0,0.0,0.0,0.0,0.0,0.0,-1.0
11732-11743-11745,11743,11732,11745,-1,0.0,0.0,0.0,31.159468,0.0,0.0
11732-11743-28159,11743,11732,28159,-1,0.0,0.0,0.0,81.134262,0.0,0.0
11745-11743-11732,11743,11745,11732,-1,0.0,0.0,0.0,0.0,0.0,0.0
11745-11743-11745,11743,11745,11745,0,0.0,0.0,0.0,0.0,0.0,-1.0
11745-11743-28159,11743,11745,28159,-1,0.0,0.0,0.0,20.166962,0.0,0.0
28159-11743-11732,11743,28159,11732,-1,0.0,0.0,0.0,18.130747,0.0,0.0
28159-11743-11745,11743,28159,11745,-1,0.0,0.0,0.0,3.2703919,0.0,0.0
28159-11743-28159,11743,28159,28159,0,0.0,0.0,0.0,0.0,0.0,-1.0
11763-11762-11763,11762,11763,11763,0,0.0,0.0,0.0,0.0,0.0,-1.0
11763-11762-98042,11762,11763,98042,-1,0.0,0.0,0.0,0.0,0.0,0.0
11766-11762-11763,11762,11766,11763,-1,0.0,0.0,0.0,0.0,0.0,0.0
11766-11762-98042,11762,11766,98042,0,0.0,0.0,0.0,0.0,0.0,-1.0
11769-11770-11769,11770,11769,11769,0,0.0,0.0,0.0,0.0,0.0,-1.0
11769-11770-98043,11770,11769,98043,-1,0.0,0.0,0.0,0.0,0.0,0.0
98051-11770-11769,11770,98051,11769,-1,0.0,0.0,0.0,0.0,0.0,0.0
98051-11770-98043,11770,98051,98043,0,0.0,0.0,0.0,0.0,0.0,-1.0
11783-11784-11783,11784,11783,11783,0,0.0,0.0,0.0,0.0,0.0,-1.0
11783-11784-98061,11784,11783,98061,-1,0.0,0.0,0.0,131.97882,0.0,0.0
98010-11784-11783,11784,98010,11783,-1,0.0,0.0,0.0,7.3915114,0.0,0.0
98010-11784-98061,11784,98010,98061,0,0.0,0.0,0.0,0.0,0.0,-1.0
11790-11793-11783,11793,11790,11783,-1,0.0,0.0,0.0,0.0,0.0,0.0
11790-11793-11790,11793,11790,11790,0,0.0,0.0,0.0,0.0,0.0,-1.0
11790-11793-98011,11793,11790,98011,-1,0.0,0.0,0.0,14.096909,0.0,0.0
98012-11793-11783,11793,98012,11783,0,0.0,0.0,0.0,0.0,0.0,-1.0
98012-11793-11790,11793,98012,11790,-1,0.0,0.0,0.0,4.8223195,0.0,0.0
98012-11793-98011,11793,98012,98011,0,0.0,0.0,0.0,0.0,0.0,-1.0
11805-11817-11805,11817,11805,11805,0,0.0,0.0,0.0,0.0,0.0,-1.0
11805-11817-11816,11817,11805,11816,-1,0.0,0.0,0.0,0.0,0.0,0.0
11805-11817-98020,11817,11805,98020,-1,0.0,0.0,0.0,22.26366,0.0,0.0
11816-11817-11805,11817,11816,11805,-1,0.0,0.0,0.0,0.0,0.0,0.0
11816-11817-11816,11817,11816,11816,0,0.0,0.0,0.0,0.0,0.0,-1.0
11816-11817-98020,11817,11816,98020,-1,0.0,0.0,0.0,0.0,0.0,0.0
