ID,JNODE,INODE,KNODE,TPF,DATA1,DATA2,DATA3
11732-11743-11745,11743,11732,11745,-1,0.0,0.0,0.0
11732-11743-28159,11743,11732,28159,-1,0.0,0.0,0.0
11745-11743-11732,11743,11745,11732,-1,0.0,0.0,0.0
11745-11743-11745,11743,11745,11745,0,0.0,0.0,0.0
11745-11743-28159,11743,11745,28159,-1,0.0,0.0,0.0
28159-11743-11732,11743,28159,11732,-1,0.0,0.0,0.0
28159-11743-11745,11743,28159,11745,-1,0.0,0.0,0.0
28159-11743-28159,11743,28159,28159,0,0.0,0.0,0.0
11763-11762-11763,11762,11763,11763,0,0.0,0.0,0.0
11763-11762-98042,11762,11763,98042,-1,0.0,0.0,0.0
11766-11762-11763,11762,11766,11763,-1,0.0,0.0,0.0
11766-11762-98042,11762,11766,98042,0,0.0,0.0,0.0
11769-11770-11769,11770,11769,11769,0,0.0,0.0,0.0
11769-11770-98043,11770,11769,98043,-1,0.0,0.0,0.0
98051-11770-11769,11770,98051,11769,-1,0.0,0.0,0.0
98051-11770-98043,11770,98051,98043,0,0.0,0.0,0.0
11783-11784-11783,11784,11783,11783,0,0.0,0.0,0.0
11783-11784-98061,11784,11783,98061,-1,0.0,0.0,0.0
98010-11784-11783,11784,98010,11783,-1,0.0,0.0,0.0
98010-11784-98061,11784,98010,98061,0,0.0,0.0,0.0
11790-11793-11783,11793,11790,11783,-1,0.0,0.0,0.0
11790-11793-11790,11793,11790,11790,0,0.0,0.0,0.0
11790-11793-98011,11793,11790,98011,-1,0.0,0.0,0.0
98012-11793-11783,11793,98012,11783,0,0.0,0.0,0.0
98012-11793-11790,11793,98012,11790,-1,0.0,0.0,0.0
98012-11793-98011,11793,98012,98011,0,0.0,0.0,0.0
11805-11817-11805,11817,11805,11805,0,0.0,0.0,0.0
11805-11817-11816,11817,11805,11816,-1,0.0,0.0,0.0
11805-11817-98020,11817,11805,98020,-1,0.0,0.0,0.0
11816-11817-11805,11817,11816,11805,-1,0.0,0.0,0.0
11816-11817-11816,11817,11816,11816,0,0.0,0.0,0.0
11816-11817-98020,11817,11816,98020,-1,0.0,0.0,0.0
98020-11817-11805,11817,98020,11805,-1,0.0,0.0,0.0
98020-11817-11816,11817,98020,11816,0,0.0,0.0,0.0
98020-11817-98020,11817,98020,98020,0,0.0,0.0,0.0
11649-11911-11648,11911,11649,11648,-1,0.0,0.0,0.0
11649-11911-11649,11911,11649,11649,0,0.0,0.0,0.0
44618-11911-11648,11911,44618,11648,-1,0.0,0.0,0.0
44618-11911-11649,11911,44618,11649,-1,0.0,0.0,0.0
44656-11911-11648,11911,44656,11648,0,0.0,0.0,0.0
44656-11911-11649,11911,44656,11649,-1,0.0,0.0,0.0
11927-11926-11927,11926,11927,11927,0,0.0,0.0,0.0
11927-11926-18044,11926,11927,18044,0,0.0,0.0,0.0
11927-11926-18046,11926,11927,18046,-1,0.0,0.0,0.0
18044-11926-11927,11926,18044,11927,-1,0.0,0.0,0.0
18044-11926-18044,11926,18044,18044,0,0.0,0.0,0.0
18044-11926-18046,11926,18044,18046,-1,0.0,0.0,0.0
18046-11926-11927,11926,18046,11927,-1,0.0,0.0,0.0
18046-11926-18044,11926,18046,18044,-1,0.0,0.0,0.0
18046-11926-18046,11926,18046,18046,0,0.0,0.0,0.0
11941-11943-11940,11943,11941,11940,-1,0.0,0.0,0.0
11941-11943-98056,11943,11941,98056,-1,0.0,0.0,0.0
11941-11943-98057,11943,11941,98057,0,0.0,0.0,0.0
98056-11943-11940,11943,98056,11940,-1,0.0,0.0,0.0
98056-11943-98056,11943,98056,98056,0,0.0,0.0,0.0
98056-11943-98057,11943,98056,98057,-1,0.0,0.0,0.0
98057-11943-11940,11943,98057,11940,0,0.0,0.0,0.0
98057-11943-98056,11943,98057,98056,-1,0.0,0.0,0.0
98057-11943-98057,11943,98057,98057,0,0.0,0.0,0.0
12129-12043-12042,12043,12129,12042,0,0.0,0.0,0.0
12129-12043-12129,12043,12129,12129,0,0.0,0.0,0.0
12129-12043-12300,12043,12129,12300,-1,0.0,0.0,0.0
12300-12043-12042,12043,12300,12042,-1,0.0,0.0,0.0
12300-12043-12129,12043,12300,12129,-1,0.0,0.0,0.0
12300-12043-12300,12043,12300,12300,0,0.0,0.0,0.0
12044-12045-12049,12045,12044,12049,0,0.0,0.0,0.0
12044-12045-12115,12045,12044,12115,-1,0.0,0.0,0.0
12049-12045-12049,12045,12049,12049,0,0.0,0.0,0.0
12049-12045-12115,12045,12049,12115,-1,0.0,0.0,0.0
12115-12045-12049,12045,12115,12049,-1,0.0,0.0,0.0
12115-12045-12115,12045,12115,12115,0,0.0,0.0,0.0
12278-12046-12047,12046,12278,12047,0,0.0,0.0,0.0
